Larian Studios NV,Baldur's Gate III
"Capcom Co., Ltd.",Ace Attorney Investigations Collection
Crows Crows Crows GmbH,The Stanley Parable: Ultra Deluxe
TT Games Studios Ltd.,LEGO Star Wars: The Skywalker Saga
Isometricorp Games Ltd.,Tunic
"Capcom Co., Ltd.",The Great Ace Attorney Chronicles
"Nintendo Cube Co., Ltd.",Super Mario Party Jamboree
"OMOCAT, LLC",Omori
Hiding Spot LLC,Beacon Pines
Level-5 Inc.,Fantasy Life i: The Girl Who Steals Time
Team Salvato,Doki Doki Literature Club Plus!
Deconstructeam,The Cosmic Wheel Sisterhood
xeen Inc.,Paranormasight: The Seven Mysteries of Honjo
Arte Piazza Ltd.,Super Mario RPG
Rundisc,Chants of Sennaar
Modern Storyteller Pty Ltd,The Forgotten City
Nihon Falcom Corp.,The Legend of Heroes: Trails Through Daybreak
PH3 GmbH,The Legend of Heroes: Trails Through Daybreak
Petroglyph Games Inc.,Command & Conquer: Remastered Collection
Gust,Atelier Ryza 3: Alchemist of the End & the Secret Key
Nintendo EAD,Pikmin 3 Deluxe
Bandai Namco Studios Inc.,Tales of Arise
Roll7,OlliOlli World
"Capcom Co., Ltd.",Street Fighter 6: Years 1-2 - Fighters Edition
Eremite Games sp. z o.o.,Against the Storm
Saber Interactive Russia,"Warhammer 40,000: Space Marine II"
"Firaxis Games, Inc.",Marvel Midnight Suns
Asobo Studio S.A.R.L.,A Plague Tale: Requiem
Nintendo EPD,Splatoon 3
Respawn Entertainment LLC,Star Wars: Jedi - Survivor
BlueTwelve Studio Ltd.,Stray
"Nippon Ichi Software, Inc.",Disgaea 7: Vows of the Virtueless
SoulGame Studio,Minishoot' Adventures
"Spike Chunsoft Co., Ltd.",Dragon Ball: Sparking! Zero
Massive Monster Ltd.,Cult of the Lamb
"Capcom Co., Ltd.",Dragon's Dogma II
"Spike Chunsoft Co., Ltd.",Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island
Shiny Shoe LLC,Monster Train 2
Bytten Studio Ltd.,Cassette Beasts
Hilltop Studios,Lil' Guardsman
DigiTales Interactive UG,Lacuna
"inXile Entertainment, Inc.",Wasteland 3
ADGLOBE Inc.,Ender Lilies: Quietus of the Knights
Live Wire Inc.,Ender Lilies: Quietus of the Knights
Color Gray Games,The Case of the Golden Idol
Mimimi Games GmbH,Desperados III
Stunlock Studios AB,V Rising
MONKEYCRAFT Co. Ltd.,We ♥ Katamari: Reroll+ Royal Reverie
Team Ninja,Nioh 2
Tha Ltd.,Humanity
Black Salt Games Limited,Dredge
Hangar 13 Brighton,Mafia: Definitive Edition
Hangar 13 Novato,Mafia: Definitive Edition
Hangar 13 Brno,Mafia: Definitive Edition
Color Gray Games,The Rise of the Golden Idol
Airdorf Games,Faith
Draw Me A Pixel,There Is No Game: Wrong Dimension
Summitsphere LLC,Antonblast
Team Ninja,Ninja Gaiden 4
PlatinumGames Inc.,Ninja Gaiden 4
Kinmoku,Videoverse
Funday Games ApS,Deep Rock Galactic: Survivor
"Camouflaj, LLC",Batman: Arkham Shadow
All Possible Futures,The Plucky Squire
"Capcom Co., Ltd.",Kunitsu-Gami: Path of the Goddess
Codemasters Birmingham,F1 2020
"Mighty Coconut, LLC",Walkabout Mini Golf
Domesticated Ant Games,Gravity Circuit
Poncle Limited,Vampire Survivors
Virtuos Ltd.,Age of Mythology: Retold
Forgotten Empires LLC,Age of Mythology: Retold
Tantalus Media Pty Ltd.,Age of Mythology: Retold
"Capcom Co., Ltd.",Capcom Fighting Collection 2
MAGES. Inc.,Anonymous;Code
Critical Games,8-Bit Adventures 2
Witch Beam Pty. Ltd.,Unpacking
"Insomniac Games, Inc.",Marvel Spider-Man: Miles Morales
Motive Studio,Battlefield 6
EA Digital Illusions CE AB,Battlefield 6
Criterion Software Ltd.,Battlefield 6
Ripple Effect Studios,Battlefield 6
Playside Studios Pty Ltd,Kill Knight
"Arc System Works Co., Ltd.",Guilty Gear: Strive
Toys for Bob Inc.,Crash Bandicoot 4: It's About Time
"Konami Digital Entertainment Co., Ltd.",Gradius: Origins
"M2 Co., Ltd.",Gradius: Origins
Mokuzai Studio LLC,Love 3
Team Ninja,Nioh 2: Complete Edition
CreSpirit International Limited,Tevi
Acid Nerve,Death's Door
Triumph Studios B.V.,Age of Wonders 4
PlatinumGames Inc.,Bayonetta 3
Paintbucket Games UG,The Darkest Files
Recreate Games,Party Animals
Rogue Snail,Hell Clock
Berzerk Studio Inc.,Infernax
Batterystaple Games,30XX
Nihon Falcom Corp.,The Legend of Heroes: Trails into Reverie
"FromSoftware, Inc.",Armored Core VI: Fires of Rubicon
Owlcat Games,Pathfinder: Wrath of the Righteous
Digital Eclipse Entertainment Partners Co.,Teenage Mutant Ninja Turtles: The Cowabunga Collection
